"ID" "Species" "Size" "Synonyms" "Symbols" "Descriptions"
"1383543" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4166" "queG" "epoxyqueuosine reductase, cobalamine-stimulated; queosine biosynthesis"
"1383544" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4172" "hfq" "HF-I, host factor for RNA phage Q beta replication"
"1383545" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4176" "yjeT" "conserved protein, DUF2065 family"
"1383546" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4177" "purA" "adenylosuccinate synthetase"
"1383547" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4180" "rlmB" "23S rRNA (Gm2251)-methyltransferase"
"1383548" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4190" "yjfP" "acyl CoA esterase actviity in vitro"
"1383549" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4191" "ulaR" "transcriptional tepressor for the L-ascorbate utilization (ula) divergon"
"1383550" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4199" "yjfY" "predicted protein"
"1383551" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4204" "yjfZ" "predicted protein"
"1383552" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4208" "cycA" "D-alanine/D-serine/glycine transporter"
"1383553" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4209" "ytfE" "iron-sulfur cluster repair protein RIC"
"1383554" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4211" "qorB" "NAD(P)H:quinone oxidoreductase"
"1383555" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4213" "cpdB" "2':3'-cyclic-nucleotide 2'-phosphodiesterase"
"1383556" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4214" "cysQ" "PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase"
"1383557" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4216" "ytfJ" "predicted transcriptional regulator"
"1383558" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4218" "ytfL" "inner membrane protein, UPF0053 family"
"1383559" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4219" "msrA" "methionine sulfoxide reductase A"
"1383560" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4226" "ppa" "inorganic pyrophosphatase"
"1383561" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4227" "ytfQ" "galactofuranose binding proteint: periplasmic-binding component of ABC superfamily"
"1383562" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4232" "fbp" "fructose-1,6-bisphosphatase I"
"1383563" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4233" "mpl" "UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase"
"1383564" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4234" "yjgA" "conserved protein, ribosome-associated"
"1383565" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4235" "pmbA" "predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17"
"1383566" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4237" "nrdG" "anaerobic ribonucleotide reductase activating protein"
"1383567" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4238" "nrdD" "anaerobic ribonucleoside-triphosphate reductase"
"1383568" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4241" "treR" "DNA-binding transcriptional repressor"
"1383569" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4246" "pyrL" "pyrBI operon leader peptide"
"1383570" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4248" "yjgH" "conserved protein, UPF0131 family"
"1383571" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4249" "yjgI" "predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain"
"1383572" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4254" "argI" "ornithine carbamoyltransferase 1"
"1383573" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4255" "rraB" "protein inhibitor of RNase E"
"1383574" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4260" "pepA" "multifunctional aminopeptidase A: a cyteinylglycinase, transcription regulator and site-specific recombination factor"
"1383575" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4268" "idnK" "D-gluconate kinase, thermosensitive"
"1383576" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4277" "yjgZ" "KpLE2 phage-like element; predicted protein"
"1383577" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4278" "insG" "IS4 transposase"
"1383578" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4284" "insI" "IS30 transposase"
"1383579" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4294" "insA" "IS1 repressor TnpA"
"1383580" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4296" "yjhF" "KpLE2 phage-like element; predicted transporter"
"1383581" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4306" "yjhP" "KpLE2 phage-like element; predicted methyltransferase"
"1383582" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4312" "fimB" "tyrosine recombinase/inversion of on/off regulator of fimA"
"1383583" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4313" "fimE" "tyrosine recombinase/inversion of on/off regulator of fimA"
"1383584" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4321" "gntP" "fructuronate transporter"
"1383585" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4324" "uxuR" "DNA-binding transcriptional repressor"
"1383586" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4332" "yjiJ" "predicted inner membrane protein"
"1383587" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4340" "yjiR" "fused predicted DNA-binding transcriptional regulator/predicted aminotransferase"
"1383588" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4341" "yjiS" "conserved protein"
"1383589" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4351" "mrr" "methylated adenine and cytosine restriction protein"
"1383590" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4355" "tsr" "methyl-accepting chemotaxis protein I, serine sensor receptor"
"1383591" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4356" "yjjL" "L-galactonate transporter"
"1383592" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4365" "yjjQ" "DNA-binding transcriptional regulator"
"1383593" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4367" "fhuF" "ferric iron reductase involved in ferric hydroximate transport"
"1383594" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4371" "rsmC" "16S rRNA m(2)G1207 methyltransferase"
"1383595" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4375" "prfC" "peptide chain release factor RF-3"
"1383596" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4381" "deoC" "2-deoxyribose-5-phosphate aldolase, NAD(P)-linked"
"1383597" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4385" "yjjJ" "HipA family protein"
"1383598" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4391" "yjjK" "fused predicted transporter subunits of ABC superfamily: ATP-binding components"
"1383599" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4393" "trpR" "DNA-binding transcriptional repressor, tryptophan-binding"
"1383600" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4395" "ytjC" "phosphatase"
"1383601" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4396" "rob" "right oriC-binding transcriptional activator, AraC family"
"1383602" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4401" "arcA" "DNA-binding response regulator in two-component regulatory system with ArcB or CpxA"
"1383603" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4402" "yjjY" "predicted protein"
"1383604" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4403" "yjtD" "predicted rRNA methyltransferase"
"1383605" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0148" "hrpB" "predicted ATP-dependent helicase"
"1383606" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0384" "psiF" "conserved protein, PsiF family, pho regulon"
"1383607" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0807" "rlmF" "23S rRNA mA1618 methyltransferase, SAM-dependent"
"1383608" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1182" "hlyE" "hemolysin E"
"1383609" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1821" "yebN" "conserved inner membrane protein"
"1383610" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2010" "dacD" "D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6b)"
"1383611" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2134" "pbpG" "D-alanyl-D-alanine endopeptidase"
"1383612" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2371" "yfdE" "predicted CoA-transferase, NAD(P)-binding"
"1383613" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2549" "yphG" "conserved protein"
"1383614" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3119" "tdcR" "DNA-binding transcriptional activator"
"1383615" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3375" "frlR" "predicted DNA-binding transcriptional regulator"
"1383616" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3396" "mrcA" "fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase"
"1383617" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3509" "hdeB" "acid-resistance protein"
"1383618" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3638" "yicR" "conserved protein, UPF0758 family; not radC"
"1383619" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4206" "ytfB" "predicted cell envelope opacity-associated protein"
"1383620" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1386" "tynA" "tyramine oxidase, copper-requiring"
"1383621" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1832" "msrC" "free methionine-(R)-sulfoxide reductase"
"1383622" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2558" "mltF" "membrane-bound lytic transglycosylase F, murein hydrolase"
"1383623" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1327" "ycjY" "predicted hydrolase"
"1383624" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4117" "adiA" "arginine decarboxylase"
"1383625" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4662" "sgrT" "Inhibitor of glucose uptake"
"1383626" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4671" "ykgR" "expressed protein"
"1383627" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0375" "yaiV" "predicted DNA-binding transcriptional regulator"
"1383628" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1234" "rssA" "predicted phospholipase, patatin-like family"
"1383629" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4672" "ymiB" "expressed protein"
"1383630" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1326" "mpaA" "murein peptide amidase A"
"1383631" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4674" "ynbG" "expressed protein"
"1383632" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1449" "curA" "curcumin/dihydrocurcumin reductase, NADPH-dependent"
"1383633" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1685" "ydiH" "predicted protein"
"1383634" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1728" "ydjM" "inner membrane protein regulated by LexA"
"1383635" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1730" "ydjO" "predicted protein"
"1383636" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4675" "yoaJ" "expressed protein, membrane-associated"
"1383637" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1810" "yoaC" "conserved protein, DUF1889 family"
"1383638" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4677" "yobI" "expressed protein"
"1383639" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4663" "azuC" "expressed protein"
"1383640" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1985" "yeeO" "predicted multdrug exporter, MATE family"
"1383641" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4667" "ibsA" "toxic membrane protein"
"1383642" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4668" "ibsB" "toxic membrane protein"
"1383643" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4679" "yohP" "expressed protein"
"1383644" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2274" "yfbO" "conserved protein"
"1383645" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4680" "ypdK" "expressed protein, membrane-associated"
"1383646" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2534" "yfhR" "S9 peptidase family protein, function unknown"
"1383647" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4687" "shoB" "toxic membrane protein"
"1383648" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2735" "ygbI" "predicted transcriptional regulator, DeoR family"
"1383649" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4682" "yqcG" "expressed protein"
"1383650" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4683" "yqeL" "expressed protein"
"1383651" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4665" "ibsC" "toxic membrane protein"
"1383652" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3039" "ygiD" "predicted dioxygenase, LigB family"
"1383653" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4664" "ibsD" "toxic membrane protein"
"1383654" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4666" "ibsE" "toxic membrane protein"
"1383655" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3491" "yhiM" "inner membrane protein, DUF1323 family"
"1383656" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3680" "yidL" "predicted transcriptional regulator, AraC family"
"1383657" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4686" "yshB" "expressed protein"
"1383658" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4670" "yjeV" "expressed protein"
"1383659" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4210" "ytfF" "inner membrane protein, DMT transporter family"
"1383660" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4350" "hsdR" "endonuclease R Type I restriction enzyme"
"1383661" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4358" "yjjN" "L-galactonate oxidoreductase"
"1383662" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1432" "insQ" "IS609 transposase B"
"1383663" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1120" "cobB" "deacetylase of acs and cheY, regulates chemotaxis"
"1383664" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1179" "ycgL" "conserved protein"
"1383665" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3689" "yidR" "conserved protein"
"1383666" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0268" "yagE" "2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage"
"1383667" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0403" "malZ" "maltodextrin glucosidase"
"1383668" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0583" "entD" "phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex"
"1383669" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1375" "ynaE" "cold shock protein, function unknown, Rac prophage"
"1383670" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1544" "ydfK" "cold shock protein, function unknown, Qin prophage"
"1383671" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1819" "manZ" "mannose-specific enzyme IID component of PTS"
"1383672" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2275" "yfbP" "TPR-like repeats-containing protein"
"1383673" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2714" "ascG" "DNA-binding transcriptional repressor"
"1383674" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2799" "fucO" "L-1,2-propanediol oxidoreductase"
"1383675" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4703" "pmrR" "predicted regulator of BasS activity, membrane protein"
"1383676" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4120" "melB" "melibiose:sodium symporter"
"1383677" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4366" "bglJ" "DNA-binding transcriptional activator for silent bgl operon, requires the bglJ4 allele to function; LuxR family"
"1383678" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0070" "setA" "broad specificity sugar efflux system"
"1383679" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0383" "phoA" "bacterial alkaline phosphatase"
"1383680" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0396" "araJ" "arabinose-inducible predicted transporter, MFS family"
"1383681" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0453" "ybaY" "outer membrane lipoprotein"
"1383682" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4415" "hokE" "toxic polypeptide, small"
"1383683" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1060" "bssS" "biofilm regulator"
"1383684" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1185" "dsbB" "oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I"
"1383685" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4419" "ldrA" "toxic polypeptide, small"
"1383686" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4421" "ldrB" "toxic polypeptide, small"
"1383687" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4423" "ldrC" "toxic polypeptide, small"
"1383688" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1521" "uxaB" "altronate oxidoreductase, NAD-dependent"
"1383689" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1613" "manA" "mannose-6-phosphate isomerase"
"1383690" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4409" "blr" "beta-lactam resistance membrane protein"
"1383691" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1641" "slyB" "outer membrane lipoprotein"
"1383692" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1660" "ydhC" "predicted transporter"
"1383693" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1663" "mdtK" "multidrug efflux system transporter"
"1383694" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1717" "rpmI" "50S ribosomal subunit protein L35"
"1383695" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1723" "pfkB" "6-phosphofructokinase II"
"1383696" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1732" "katE" "catalase HPII, heme d-containing"
"1383697" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b1931" "yedK" "predicted protein"
"1383698" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2000" "flu" "CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter"
"1383699" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2163" "yeiL" "DNA-binding transcriptional activator of stationary phase nitrogen survival"
"1383700" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2557" "purL" "phosphoribosylformyl-glycineamide synthetase"
"1383701" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2616" "recN" "recombination and repair protein"
"1383702" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2672" "ygaM" "predicted protein"
"1383703" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2912" "fau" "conserved protein, 5-formyltetrahydrofolate cyclo-ligase family"
"1383704" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b2935" "tktA" "transketolase 1, thiamin-binding"
"1383705" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4466" "yghJ" "predicted inner membrane lipoprotein"
"1383706" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4469" "ygiQ" "conserved protein"
"1383707" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3088" "alx" "inner membrane protein, part of terminus"
"1383708" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3226" "nanR" "DNA-binding transcriptional repressor of the nan operon, induced by sialic acid"
"1383709" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4472" "yhdP" "conserved membrane protein, predicted transporter"
"1383710" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3415" "gntT" "gluconate transporter, high-affinity GNT I system"
"1383711" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3438" "gntR" "DNA-binding transcriptional repressor"
"1383712" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3460" "livJ" "leucine/isoleucine/valine transporter subunit"
"1383713" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4453" "ldrD" "toxic polypeptide, small"
"1383714" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4455" "hokA" "toxic polypeptide, small"
"1383715" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3570" "bax" "conserved protein"
"1383716" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3572" "avtA" "valine-pyruvate aminotransferase 1"
"1383717" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3589" "yiaY" "predicted Fe-containing alcohol dehydrogenase, Pfam00465 family"
"1383718" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3696" "yidX" "predicted lipoproteinC"
"1383719" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3747" "kup" "potassium transporter"
"1383720" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4480" "hdfR" "DNA-binding transcriptional regulator"
"1383721" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3778" "rep" "DNA helicase and single-stranded DNA-dependent ATPase"
"1383722" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3779" "gpp" "guanosine pentaphosphatase/exopolyphosphatase"
"1383723" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3795" "yifK" "predicted transporter"
"1383724" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3800" "aslB" "predicted regulator of arylsulfatase activity"
"1383725" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4482" "yigE" "predicted protein, DUF2233 family"
"1383726" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3824" "rhtB" "homoserine, homoserine lactone and S-methyl-methionine efflux pump"
"1383727" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3830" "ysgA" "predicted hydrolase"
"1383728" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3871" "typA" "GTP-binding protein"
"1383729" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3879" "yihR" "predicted aldose-1-epimerase"
"1383730" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3908" "sodA" "superoxide dismutase, Mn"
"1383731" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4484" "cpxP" "inhibitor of the cpx response; periplasmic adaptor protein"
"1383732" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4487" "yjdP" "conserved protein"
"1383733" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4410" "ecnA" "entericidin A membrane lipoprotein, antidote entericidin B"
"1383734" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4411" "ecnB" "entericidin B membrane lipoprotein"
"1383735" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4215" "ytfI" "predicted protein"
"1383736" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4256" "yjgM" "predicted acetyltransferase"
"1383737" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4257" "yjgN" "inner membrane protein, DUF898 family"
"1383738" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4325" "yjiC" "predicted protein"
"1383739" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b4357" "yjjM" "DNA-binding transcriptional activator for yjjMN; mutants fail to grow on L-galactonate"
"1383740" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b3781" "trxA" "thioredoxin 1"
"1383741" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0034" "caiF" "DNA-binding transcriptional activator"
"1383742" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0076" "leuO" "DNA-binding transcriptional activator"
"1383743" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0119" "yacL" "conserved protein"
"1383744" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0122" "yacC" "conserved protein, PulS_OutS family"
"1383745" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0125" "hpt" "hypoxanthine phosphoribosyltransferase"
"1383746" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0162" "cdaR" "DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator"
"1383747" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0164" "yaeI" "phosphodiesterase with model substrate bis-pNPP"
"1383748" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0193" "yaeF" "predicted lipoprotein"
"1383749" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0213" "yafS" "predicted S-adenosyl-L-methionine-dependent methyltransferase"
"1383750" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0221" "fadE" "acyl coenzyme A dehydrogenase"
"1383751" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0262" "afuC" "CP4-6 prophage; predicted ferric transporter subunit"
"1383752" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0304" "ykgC" "predicted pyridine nucleotide-disulfide oxidoreductase"
"1383753" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0327" "yahM" "predicted protein"
"1383754" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 1 "b0353" "mhpT" "predicted 3-hydroxyphenylpropionic transporter"
